Entry,M_d1_A,M_d3_A,M_d6_A,O_d1_A,O_d3_A,O_d6_A,O_d7_A,O_d8_A,Past_d1_A,Past_d2_A,Past_d3_A,Past_d6_A,Past_d7_A,Pstr_d7_A
P08965,0,0,0,0,0,0,0,0,2222.901,1786.517,737.693,818.475,97.746,0
P08976,1,0,0,0,0,3,0,0,16467.476,12601.995,5011.802,8868.171,719.32,0
P08995,0,0,0,0,0,0,0,0,68,61,17,10,3,0
P09041,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P09102,0,0,0,0,0,0,0,0,44,10,12,5,0,0
P09110,1,0,0,0,0,0,0,0,0,0,0,0,0,0
P09189,0,0,0,0,0,5,0,0,1384.831,652.208,252.274,474.534,24.574,0
P09204,0,3,5,0,0,0,0,0,0,0,0,0,0,0
P09205,0,0,0,0,0,0,0,0,163.552,92.173,51.563,103.111,4.705,0
P09207,13,3,13,25.178,34,26.25,11,20.986,1.18,0,0,0,0,0
P09398,0,0,0,0,0,3,0,0,123,140,72,15,20,0
P09437,0,0,0,0,0,0,0,0,4905.059,3659.235,1707.885,2314.999,274,0
P09478,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P09559,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P09622,0,0,0,2,0,0,0,0,1496,1295,529,659,148,0
P09812,0,0,0,0,0,0,0,0,44.996,72.727,54.678,16.836,32.027,0
P09841,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P09856,0,0,0,0,0,0,0,0,66,83,20,1,16,0
P09889,0,0,0,0,0,0,0,0,1353,1323,562,235.006,121,0
P0A0E4,0,0,0,0,0,0,0,0,114,139,52,19,13,0
P0A348,0,0,0,0,0,0,0,0,120,165,58,9,22,0
P0A352,0,0,0,0,0,0,0,0,2,0,2,5,0,0
P0A355,0,0,0,0,0,0,0,0,355,360.615,138,156.048,18,0
P0A357,0,0,0,0,0,0,0,0,590,582,240.803,356,78,0
P0A401,0,0,0,0,0,0,0,0,6.437,0,0,0,0,0
P0A4H1,0,0,0,0,0,0,0,0,32.55,15.687,0,19.247,11.786,0
P0A5F6,0,0,0,0,0,0,0,0,36,35,24,7,1,0
P0A953,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0A962,0,0,0,0,0,0,0,0,37,43,18,30,16,0
P0A9H7,0,0,0,0,0,0,0,0,484.957,489,198,163,119,0
P0A9I8,0,0,0,0,0,0,0,0,896.353,861.427,281.356,357.201,57.419,0
