Entry,M_d1_C,M_d3_C,M_d6_C,O_d1_C,O_d3_C,O_d6_C,O_d7_C,O_d8_C,Past_d1_C,Past_d2_C,Past_d3_C,Past_d6_C,Past_d7_C,Pstr_d7_C
O43396,248,270,225,21,29,27,17,32.999,0,0,0,0,0,0
O43414,0,0,1,0,0,0,0,0,0,0,0,0,0,0
O43488,31,27,21,0,0,0,0,0,0,0,0,0,0,0
O43497,138,227,60,168.192,309.062,567,333,728,0,0,0,0,0,0
O43502,0,0,0,117,173,106,55,100,0,0,0,0,0,0
O43543,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O43592,4,11,10,0,0,0,0,0,0,0,0,0,0,0
O43808,1,1,0,12,21,12,21,32,0,0,0,0,0,0
O43822,1,0,0,0,0,0,5,0,0,0,0,0,0,0
O43847,0,0,0,0,1,0,0,9,0,0,0,0,0,0
O43933,0,0,0,1,1,1,0,0,0,0,0,0,0,0
O44001,607.177,909.867,430.532,273.506,471.238,1124.968,570.302,735.242,1,5,0,0,0,0
O44006,1317,1567,1468,4182,7517,7883,6994,7088,1,5,3,7,0,23
O44424,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O44997,0,0,5,0,0,0,0,14,0,0,0,0,0,0
O45218,0,2,6,3,6,2,0,4,0,0,0,0,0,0
O45228,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O45583,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O45830,0,0,0,0,0,0,0,1,0,0,0,0,0,0
O45924,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O45935,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O46043,1,0,0,0,0,0,0,3,0,0,0,0,0,1
O46106,2,2,2,9,9,5,0,5,0,0,0,0,0,0
O46560,1,0,0,1,0,0,1,1,0,0,0,0,0,0
O46629,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O46640,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O46669,8,7,4,6,21,16,0,15,0,0,0,0,0,0
O47881,313,356,301,295,582,545,380,565,0,0,0,0,0,0
O48551,0,0,0,0,0,0,0,0,0,1,0,0,0,0
O48649,950,1058,909,2108,3565,3286,2650,2313,2,1,2,15,0,0
O48652,100,98,95,0,0,0,0,1,0,0,0,0,0,0
O48670,1,3,1,355,710,536,431,674,0,0,0,0,0,0
O48671,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O48713,1,0,0,1,2,0,0,2,0,0,0,3,0,0
O48741,7,18,8,23,14,18,27,7,0,0,0,0,0,0
O48844,9,8,4,4,2,2,0,7,0,1,0,0,0,0
O48920,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O48921,0,12,5,0,0,0,0,1,0,0,0,0,0,0
