Entry,UVI_092_B,UVI_094_B,UVI_096_B,UVI_100_B,UVI_102_B,UVI_104_B,UVI_106_B,UVI_108_B,USVI_118_B,UVI_132_B,UVI_136_B,UVI_138_B
Q9DAJ5,169,95,213,0,0,1,1,5,4,0,0,0
Q9DAK3,32,22,61,0,0,0,0,0,0,0,0,0
Q9DAK8,45,25,71,0,1,0,0,1,0,0,0,0
Q9DAM1,55,36,123,0,0,0,0,0,1,0,0,0
Q9DAN9,178,109,342,0,3,0,0,3,0,0,0,0
Q9DB16,102,85,252,1,0,0,1,0,5,0,0,0
Q9DB75,45,41,69,0,0,0,0,2,1,0,0,0
Q9DBB9,0,0,0,0,0,0,0,0,0,0,0,0
Q9DBH0,25,36,115,0,0,0,0,0,1,0,0,0
Q9DBK0,23,24,38,0,0,0,0,1,0,0,0,0
Q9DBL2,12,10,32,0,0,0,0,0,0,0,0,0
Q9DBP0,22,30,34,0,1,0,0,2,0,1,0,0
Q9DBS1,53,44,182,0,0,0,0,0,0,0,0,0
Q9DBT5,77,36,167,0,0,0,0,10,3,0,0,0
Q9DBT9,111,85,189,0,4,1,0,9,1,1,0,0
Q9DBU5,38,23,109,0,1,0,0,2,0,0,0,0
Q9DBY1,0,0,0,0,3.703,0,0,0,0,0,0,0
Q9DC37,38,12,29,0,0,0,0,1,0,0,0,0
Q9DC48,71,70,152,0,1,0,0,5,2,0,0,0
Q9DCG9,16,6,22,0,0,0,0,0,0,0,0,0
Q9DCM0,14,9,37,0,0,0,0,0,0,0,0,0
Q9DCM4,34,22,63,0,0,0,0,2,0,0,0,0
Q9DCN1,48,39,65,0,0,0,0,4,0,0,0,0
Q9DCP2,94,81,133,0,0,0,1,1,0,0,0,0
Q9DD03,32,4,43,0,0,0,0,3,0,0,0,0
Q9DD18,22,8,19,0,0,0,0,0,0,0,0,0
Q9DD20,11,8,3,0,0,0,0,0,0,0,0,0
Q9DE07,51,34,96,0,0,0,0,0,0,0,0,0
Q9DE26,4,6,4,0,5,0,3,13,3,0,1,0
Q9DE27,397.579,367.059,447.122,0,8,0,1.041,16,16,0,0,0
Q9DE46,73.92,105,162.686,0,0,0,0,5,0,0,0,0
Q9DED4,2,3,11,0,0,0,0,0,0,0,0,0
Q9DER5,203,147,347,0,4,0,0,3,0,0,0,0
Q9DER7,4,7,44,0,0.716,0,0,0,0,0,0,0
Q9DF36,70,36,99,0,0,0,0,3,0,0,0,0
Q9DG39,107,122,254,0,0,0,0,2,0,0,0,0
Q9DG68,514.028,325.31,740.716,1,2,0,4,14,0,1,0,0
Q9DG98,13,6,22,0,0,0,0,0,0,0,0,0
Q9DGA5,36.492,15.502,84.065,0,0,0,2,0,0,0,0,0
Q9DGN1,97,65,220,0,0,0,0,5,0,1,0,0
Q9EP71,33,44,76,0,0,0,0,1,1,0,0,0
Q9EPB1,166,15,249,0,3,0,2,10,0,0,0,0
Q9EPI9,35,43,131,0,0,0,0,0,0,0,0,0
Q9EPK2,51,53,125,0,1,0,0,1,0,0,0,0
Q9EPL8,2,1,1,0,0,0,0,0,0,0,0,0
Q9EPU0,81.249,70,184,0,0,0,0,4,1,0,0,0
Q9EQ20,7,18,60,0,0,1,0,3,2,0,0,4
Q9EQ60,103,81,217,0,4,0,0,2,0,0,0,0
Q9EQC5,27,29,91,0,0,0,0,0,0,0,0,0
Q9EQG6,674.238,384.959,927,0,7,0,2,17,1,2,0,0
Q9EQN5,87,55,85.037,0,0,0,0,6,1,0,0,0
Q9EQP2,15,22,36,0,0,0,0,0,0,0,0,0
Q9EQS5,9,6,29,0,0,0,0,3,0,0,0,0
Q9EQU5,3,0,16,0,0,0,0,0,0,0,0,0
Q9EQV6,0,0,0,0,0,0,0,0,0,0,0,0
Q9ER47,38,37,92,0,0,0,0,0,0,0,0,0
Q9ER69,42,52,46,0,0,0,0,3,0,0,0,0
Q9ERC1,22,22,50,0,0,0,0,0,0,0,0,0
Q9ERD9,189,187,371,0,0,0,1,2,1,0,0,0
Q9ERH3,4,5,11,0,0,0,0,0,0,0,0,0
Q9ERI6,95,26,91.999,0,0,0,0,2,0,0,0,0
Q9ERK0,36,35,52,0,0,0,0,0,0,0,0,0
Q9ERV7,25,6,11,0,0,0,0,0,0,0,0,0
Q9ES52,39,27,81,0,1,0,0,0,0,1,0,0
Q9ES70,133,91,168,0,2,0,0,2,0,0,0,0
Q9ESD7,58,60,128,0,0,0,3,0,0,0,0,0
Q9ESF4,45,59,152,0,1,0,0,2,1,0,0,0
Q9EX73,51,19,55,0,0,0,0,0,1,0,0,0
Q9F234,21,5,36,0,0,0,0,0,1,2,0,0
Q9FDW8,40,24,65,1,0,0,0,1,0,0,0,0
Q9FDZ9,65,25.641,55,0,0,0,0,1,0,0,0,0
Q9FE17,136,98,177.753,1,0,0,0,0,0,0,0,0
Q9FE62,44,32,95,0,0,0,0,3,0,0,0,0
Q9FE91,4,4,17,0,0,0,0,0,0,0,0,0
Q9FEB5,24,8,24,0,0,0,0,0,1,0,0,0
