Entry,UVI_092_C,UVI_094_C,UVI_096_C,UVI_100_C,UVI_102_C,UVI_104_C,UVI_106_C,UVI_108_C,USVI_118_C,UVI_132_C,UVI_136_C,UVI_138_C
P48163,0,0,0,0,3,1,4,6,5,25,11,9
P48180,0,0,0,0,7,0,0,0,2,3,0,0
P48255,40,71,2,0,0,1,0,0,5,0,0,0
P48260,0,0,0,0,0,0,3,0,0,0,1,0
P48375,0,1,0,0,0,3,0,0,0,8,1,0
P48410,0,0,0,0,0,6,0,2.693,2,15,9,2
P48456,3,4,0,25,115,43,115,135,3,15,3,3
P48467,0,0,0,3,1,9,8,1,0,3,2,5
P48490,0,0,0,0,0,0,2,0,0,0,0,0
P48495,0,0,2,0,0,0,0,0,0,0,0,0
P48496,0,0,0,0,0,0,22.46,0,0,0,0,0
P48497,62,93,0,121,450,195,468.858,583,8,941.952,431,368
P48506,0,0,0,55,186,93,226,285,3,1,1,0
P48537,0,0,0,0,0,0,6,0,0,0,0,0
P48542,0,0,0,0,0,0,0,2,0,37,9,15
P48580,2,1,0,0,1,0,2,1,3,133,55,43
P48598,1,1,0,9,35,25,46,38,3,8,1,0
P48640,0,0,0,0,0,0,0,0,0,0,0,0
P48727,13,38,0,1,4,5,10,8,2,0,0,0
P48765,0,0,0,0,0,0,0,0,0,0,0,0
P48766,0,0,0,0,0,0,7,0,0,0,0,0
P48768,0,0,0,3,22,3,19,16,2,21,0,2
P48809,0,0,0,0,0,0,15,0,0,0,0,0
P48810,0,0,0,0,0,0,0,0,0,0,0,0
P48870,0,0,0,0,1,0,0,0,5,0,0,0
P48982,0,0,0,0,0,0,0,0,0,0,0,0
P49008,0,6,0,0,0,0,0,1,1,8,3,0
P49018,0,0,0,9,8,7,26,13,0,0,0,0
P49029,0,0,0,0,0,0,3,0,0,0,0,0
P49075,5,11,0,13,34,15,49,45,1,51,15,13
P49079,0,1,0,99,420,173,396,432,6,4,1,0
P49080,0,0,0,0,0,0,9,2,0,0,0,0
P49086,0,0,0,0,0,0,2,0,0,0,0,0
P49088,0,0,0,0,0,0,0,0,0,0,0,0
P49089,0,0,0,0,2,0,0,0,0,3,1,0
P49096,0,0,0,0,0,0,0,0,0,0,0,0
P49097,0,0,0,0,4,0,1,0,5,45,19,17
P49102,0,0,0,0,0,0,40,0,0,0,0,0
P49118,50.059,44.972,0,39.976,151.167,62.329,169.358,174.387,1.573,275.106,118.085,129.436
P49193,8,0,0,0,4,3,6,0,1,4,5,0
P49199,42,55,0,0,8,5,1,5,15,795,282,371
P49210,237,291,37,11,43,13,38.375,64,28,685.978,266,284
P49211,99,139,5,124,306,280,241,371,10,662.997,273,332
