Entry,M_c1_C,M_c3_C,M_c5_C,M_c6_C,M_c7_C,M_c8_C,O_c1_C,O_c2_C,O_c3_C,O_c6_C,O_c7_C,O_c8_C,Past_c1_C,Past_c5_C,Past_c6_C,Past_c7_C,Pstr_c3_C,Pstr_c5_C,Pstr_c7_C,Pstr_c8_C,UVI_081_C,UVI_083_C,UVI_085_C,UVI_087_C,UVI_089_C,UVI_091_C,UVI_093_C,UVI_095_C,UVI_097_C,UVI_099_C,UVI_103_C,UVI_105_C,UVI_107_C,USVI_109_C,USVI_111_C,USVI_117_C,UVI_129_C,UVI_131_C,UVI_133_C,UVI_135_C,UVI_137_C
Q8N8V2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Q8N961,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q8N9H8,9,4,8,9,11,17,52,26,118,57,33,77,0,0,0,1,0,0,0,0,8.001,9,0,2,4,2,11,0,6,35,15,18,28,0,0,0,99,84,80,112,105
Q8N9T8,5,2,0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,22,5,11,24,7
Q8NA82,10,49,21,29,27,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,21,8,7,10,0,0,0,0,0,6,1,0,0,0,0,76,158,102,91,67
Q8NB25,15,99,46,57,40,41,3,429,2,1,0,6,0,0,0,0,7,0,0,0,5,5,3,19,10,0,0,0,0,2,1,7,23,0,0,0,34,48,35,44,30
Q8NB46,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q8NB78,6,1,0,0,0,1,2,5,4,1,0,2,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,1,3,0,0,1,1,4,2,2,0
Q8NBF6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q8NBI5,1,3,3,3,39,21,53,29,75,46,19,119,0,0,0,0,0,0,0,0,22,4,17,10,10,11,5,0,7,0,1,0,0,0,0,0,9,13,21,15,3
Q8NBN7,1,1,4,0,4,3,0,12,0,0,0,0,0,0,0,0,24,3,64,5,1,2,2,1,0,5,5,19,10,0,2,1,5,0,0,0,4,3,5,5,0
Q8NBP5,0,3,1,0,1,0,4,0,8,9,0,8,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,7,4,0
Q8NBS9,19,37,21,16,21,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,4,5,4,0,0,0,0,0,0,0,0,0,0,0,3,18,14,11,2
Q8NBZ7,0,0,0,0,0,0,0,200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0
Q8NC42,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Q8NCG7,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
Q8NCM2,528,916,661,541,875,581,787,490,1463,753,387,1328,0,0,0,0,6,0,0,3,304,328.981,171,339,197,52,42,2,81,155,160,207,325,0,0,0,581.29,825,693,689.853,447
Q8NCM8,12,23,12,12,17,4,5,1,19,5,3,19,0,0,0,0,0,0,0,0,4,5,3,0,9,0,0,0,2,0,0,0,3,0,0,0,0,2,0,2,1
Q8NCR3,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
Q8NDA8,0,1,0,3,0,0,13,1,9,22,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,7,2,0,0,0,8,0,2,6,5
Q8NDL9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4,0
Q8NDM7,1,7,5,0,0,2,6,5,4,14,10,25,0,0,0,0,0,0,0,0,1,1,1,3,0,0,0,0,2,1,0,6,6,0,0,0,3,5,5,7,0
Q8NDN9,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q8NDV3,0,6,2,3,4,2,4,0,0,4,6,3,0,0,0,0,0,0,0,0,3,1,4,10,3,0,0,0,2,0,8,1,3,0,0,0,44,81.958,77,82,36
Q8NE71,0,2,0,0,7,0,0,0,4.63,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,2,0
Q8NEA9,0,1,0,2,1,4,6,3,9,2,1,11,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,3,3,4,0,0,0,26,26,18,22,19
Q8NEC5,0,0,0,1,2,2,0,35,0,1,0,5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,43,32,54,44,28
Q8NEM8,0,1,3,2,5,2,1,3,0,3,4,0,1,0,0,0,0,0,0,0,5,0,3,1,1,0,1,0,0,4,3,6,4,0,0,0,2,3,4,1,0
Q8NEN0,5,27,15,11,10,16,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,1,4,1,4,0,0,0,0,1,0,0,7,0,0,0,0,0,3,0,0
Q8NEV4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q8NEY3,0,3,2,1,3,5,1,18,1,1,1,1,1,0,0,0,0,0,4,0,6,1,7,1,2,0,1,0,0,0,3,2,12,0,0,1,12,6,0,4,0
Q8NEZ3,208,242,160,117,139,93,0,17,0,0,0,0,0,0,0,0,0,0,0,0,61,98,23,92,48,0,0,0,0,2,8,4,5,0,0,0,23,21,25,31,15
Q8NF37,15,11,10,22,12,16,34,16,20,9,5,12,0,0,0,0,0,0,0,0,11,14,3,7,9,2,0,0,9,16,1,5,9,1,0,0,10,5,3,4,1
Q8NFD2,54.34,148,70,60,74.055,51,7,70,8.911,4,1,4,0,0,0,0,0,0,0,0,33,9,17,39,24.586,3,0,0,0,3.614,7.292,3,14,0,0,0,13,17.668,19.593,5,5
Q8NFY9,0,0,0,0,0,0,1,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14,10,10,25,10
Q8NG66,0,1,3,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2
Q8NHH1,15,27,31,7,37,26,0,103,1,1,0,0,0,0,0,0,0,0,0,0,13,10,9,23,20,1,0,0,0,2,2,8,18,0,0,1,1,2,6,4,10
Q8NHP1,0,0,0,0,0,0,2,2,4,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,5,6,14,7,0,0,0,47,51,46,49,42
Q8NHS0,44,54,39,43,48,24,52,40,50,89,46,115,2,0,0,0,0,0,0,0,18.001,20,5,18,12,11,6,0,15,15,5,13,26,0,0,0,24,11,45,35,28
Q8NHX9,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Q8NI36,0,9,3,12,7,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,1,0,0,3,0,0,0,29,14,13,20,14
Q8NI37,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,25,24,32,58,0,0,0,0,0,0,0,0
Q8NI77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Q8NIW7,0,0,0,3,2,0,538,371,856,449,346,776,0,0,0,0,0,0,0,0,0,0,2,0,1,57,29,0,79,2,1,6,2,0,0,1,2,0,1,0,0
Q8NK02,1741.226,945.974,740.215,438.183,1127.581,662.445,666.987,516.754,1301.873,598.519,343.01,892.21,3,0,0,0,124,92,375,158,481.516,698.554,251.154,451.207,327.988,208.619,134.998,240,219.98,8,14,26,12,0,0,0,148,227.228,171.46,152.978,95.2
Q8NKE1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
