"","USVI_118_A","UVI_092_B","UVI_094_B","UVI_096_B","UVI_108_B","UVI_132_B","UVI_092_C","UVI_094_C","UVI_100_C","UVI_102_C","UVI_104_C","UVI_106_C","UVI_108_C","USVI_118_C","UVI_132_C","UVI_136_C","UVI_138_C","UVI_106_D","M_d6_A","Past_d1_A","Past_d2_A","Past_d3_A","Past_d6_A","Past_d7_A","M_d6_B","O_d1_B","O_d3_B","O_d6_B","O_d7_B","O_d8_B","Past_d7_B","Pstr_d7_B","M_d1_C","M_d3_C","M_d6_C","O_d1_C","O_d3_C","O_d6_C","O_d7_C","O_d8_C"
"P47179",180,16,8,37,0,0,3,7,31,24,11,33,37,0,97,114,79,4,0,770,608,265,421,50,0,0,0,0,0,0,0,16,129,173,98,70,101,88,101,144
"P47198",67,270,61,169,2,1,6,1,299,218,275,66,159,1,449,223,420,14,0,1166,973,577,795,163,0,0,0,0,0,0,0,62,1070,1105,926,866,1656,1134,1888,590
"P47758",33,13,12,14,2,0,9,31,27,71,46,152,159,0,35,2,5,1,0,244,214,118,65,27,0,0,0,0,0,0,0,0,245,273,268,256,338,244,203,253
"P47816",128,27,26,36,0,0,0,0,7,15,0,0,0,0,0,0,1,0,0,163,204,124,65,45,0,0,0,0,0,0,0,13,2,4,8,1,3,4,1,2
"P47961",88,17,8,23,0,0,26,10,0,1,0,0,1,0,0,0,0,50,0,894,885,426,479,156,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0
"P47973",318,17,47,82,0,0,0,0,2,10,4,5,2,8,37,32,4,33,0,1081,870,496,354,57,0,0,0,0,0,0,0,0,125,117,119,16,39,27,42,17
"P47976",25,21,20,58,0,0,7,11,13,110,22,72,105,0,32,8,6,40,0,419,260,152,88,15,0,0,0,0,0,0,0,19,134,315,87,45,193,543,169,440
"P47980",71,29,10,75,1,3,1,7,0,0,15,5,10,0,21,1,6,4,0,284,191,102,72,17,0,0,0,0,0,0,0,2,38,54,27,13,30,49,23,101
"P48467",134,54,21,78,0,0,0,0,2,1,8,5,1,0,1,1,3,15,0,366,387,209,89,65,0,0,0,0,0,0,0,15,5,1,0,1,10,1,0,10
"P48598",4,81,47,94,1,0,1,1,4,15,13,22,16,2,1,1,0,2,0,76,80,33,50,33,0,0,0,0,0,0,0,52,0,8,0,8,30,9,12,17
"P48727",55,28,24,80,0,0,18,50,1,6,7,14,12,3,0,0,0,15,0,167,179,76,22,14,0,0,0,0,0,0,0,0,65,64,50,135,405,346,335,380
"P49008",8,49,33,71,1,0,0,5,0,0,0,0,1,1,5,2,0,4,0,88,147,57,26,13,0,0,0,0,0,0,0,24,0,0,0,6,18,1,0,18
"P49018",5,5,3,11,0,0,0,0,6,2,3,14,5,0,0,0,0,2,0,87,97,18,17,18,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
"P49075",394,17,72,146,0,0,3,8,11,23,9,41,34,1,32,6,6,0,0,1159,587,197,413,39,0,0,0,0,0,0,0,0,36,71,34,46,67,130,100,154
"P49096",273,14,6,19,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,1827,1149,484,857,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P49118",3174,0,0,0,0,0,83,68,60,233,93,265,271,2,430,181,204,119,81,6010,4563,1877,2788,395,0,0,0,0,0,0,0,0,564,703,678,188,431,626,358,462
"P49193",55,71,48,108,1,0,6,0,0,3,2,4,0,1,2,3,0,11,0,339,322,137,180,58,0,0,0,0,0,0,0,18,6,6,0,1,1,8,4,8
